# Residuals   
# Time        	p             	Ux            	Uy            
0             	N/A	N/A
0.0241        	8.747211e-02	1.550108e-03	2.272387e-03
0.0242        	8.700518e-02	1.541010e-03	2.268420e-03
0.0243        	8.641172e-02	1.531971e-03	2.263710e-03
0.0244        	8.597511e-02	1.523188e-03	2.258566e-03
0.0245        	8.581516e-02	1.514565e-03	2.252717e-03
0.0246        	8.609890e-02	1.506300e-03	2.246019e-03
0.0247        	8.635915e-02	1.498578e-03	2.238648e-03
0.0248        	8.688855e-02	1.491692e-03	2.230001e-03
0.0249        	8.755321e-02	1.484959e-03	2.220159e-03
0.025         	8.870594e-02	1.478559e-03	2.210559e-03
0.0251        	9.040719e-02	1.472105e-03	2.200224e-03
0.0252        	9.509400e-02	1.465517e-03	2.189626e-03
0.0253        	9.439115e-02	1.459043e-03	2.178457e-03
0.0254        	9.182026e-02	1.452790e-03	2.167260e-03
0.0255        	9.062095e-02	1.446890e-03	2.156472e-03
0.0256        	9.000634e-02	1.441809e-03	2.146339e-03
0.0257        	8.962207e-02	1.437039e-03	2.136019e-03
0.0258        	8.935039e-02	1.432229e-03	2.126314e-03
0.0259        	8.888392e-02	1.427430e-03	2.117124e-03
0.026         	8.818672e-02	1.422670e-03	2.107957e-03
0.0261        	8.741807e-02	1.418281e-03	2.099385e-03
0.0262        	8.619316e-02	1.413831e-03	2.090624e-03
0.0263        	8.482784e-02	1.409243e-03	2.081680e-03
0.0264        	8.307413e-02	1.403993e-03	2.072789e-03
0.0265        	8.178334e-02	1.398574e-03	2.063529e-03
0.0266        	8.087286e-02	1.393114e-03	2.053397e-03
0.0267        	8.034552e-02	1.387808e-03	2.042778e-03
0.0268        	8.062675e-02	1.382465e-03	2.031809e-03
0.0269        	8.172134e-02	1.376938e-03	2.021081e-03
0.027         	8.214655e-02	1.371269e-03	2.010043e-03
0.0271        	8.259035e-02	1.365873e-03	1.998730e-03
0.0272        	8.288685e-02	1.360442e-03	1.987135e-03
0.0273        	8.298480e-02	1.354932e-03	1.976246e-03
0.0274        	8.023420e-02	1.349599e-03	1.966325e-03
0.0275        	7.766510e-02	1.344658e-03	1.956468e-03
0.0276        	7.597737e-02	1.340258e-03	1.946431e-03
0.0277        	7.499519e-02	1.335841e-03	1.936595e-03
0.0278        	7.492482e-02	1.331714e-03	1.926984e-03
0.0279        	7.564154e-02	1.327850e-03	1.917685e-03
0.028         	7.616485e-02	1.323764e-03	1.908673e-03
0.0281        	7.624934e-02	1.319991e-03	1.899752e-03
0.0282        	7.608801e-02	1.316035e-03	1.891259e-03
0.0283        	7.593992e-02	1.312038e-03	1.882880e-03
0.0284        	7.587249e-02	1.308092e-03	1.875409e-03
0.0285        	7.556768e-02	1.303833e-03	1.868468e-03
0.0286        	7.473588e-02	1.299248e-03	1.861781e-03
0.0287        	7.396015e-02	1.294599e-03	1.855247e-03
0.0288        	7.358470e-02	1.289570e-03	1.848964e-03
0.0289        	7.359099e-02	1.284446e-03	1.843042e-03
0.029         	7.325141e-02	1.279531e-03	1.836704e-03
0.0291        	7.303167e-02	1.274727e-03	1.830274e-03
0.0292        	7.292043e-02	1.269817e-03	1.823511e-03
0.0293        	7.275184e-02	1.264750e-03	1.816376e-03
0.0294        	7.246264e-02	1.259982e-03	1.808849e-03
0.0295        	7.209510e-02	1.255267e-03	1.801322e-03
0.0296        	7.171103e-02	1.250584e-03	1.793704e-03
0.0297        	7.137704e-02	1.246062e-03	1.786272e-03
0.0298        	7.112754e-02	1.241529e-03	1.779058e-03
0.0299        	7.088214e-02	1.236882e-03	1.771760e-03
0.03          	7.066025e-02	1.232342e-03	1.764430e-03
0.0301        	7.062233e-02	1.227995e-03	1.757277e-03
0.0302        	7.066533e-02	1.223876e-03	1.750817e-03
0.0303        	7.073415e-02	1.219920e-03	1.744385e-03
0.0304        	7.080414e-02	1.215949e-03	1.737929e-03
0.0305        	7.104073e-02	1.212067e-03	1.731473e-03
0.0306        	7.136706e-02	1.208324e-03	1.725246e-03
0.0307        	7.187940e-02	1.204540e-03	1.719132e-03
0.0308        	7.264908e-02	1.200619e-03	1.713274e-03
0.0309        	7.390253e-02	1.196570e-03	1.707512e-03
0.031         	7.465577e-02	1.192402e-03	1.701733e-03
0.0311        	7.468660e-02	1.188308e-03	1.696182e-03
0.0312        	7.423353e-02	1.184125e-03	1.690761e-03
0.0313        	7.361793e-02	1.179807e-03	1.685486e-03
0.0314        	7.287080e-02	1.175363e-03	1.679846e-03
0.0315        	7.206302e-02	1.170925e-03	1.673813e-03
0.0316        	7.128507e-02	1.166469e-03	1.667461e-03
0.0317        	7.066290e-02	1.162486e-03	1.660660e-03
0.0318        	7.050459e-02	1.158509e-03	1.653465e-03
0.0319        	7.052088e-02	1.154618e-03	1.645679e-03
0.032         	7.073694e-02	1.150620e-03	1.637922e-03
0.0321        	7.149149e-02	1.146583e-03	1.630613e-03
0.0322        	7.384639e-02	1.142568e-03	1.623557e-03
0.0323        	8.619915e-02	1.137965e-03	1.616905e-03
0.0324        	8.441697e-02	1.133653e-03	1.610933e-03
0.0325        	7.822007e-02	1.129658e-03	1.604701e-03
0.0326        	7.534418e-02	1.125807e-03	1.598714e-03
0.0327        	7.256146e-02	1.122837e-03	1.591975e-03
0.0328        	7.049957e-02	1.119806e-03	1.585339e-03
0.0329        	6.885848e-02	1.116314e-03	1.579571e-03
0.033         	6.774471e-02	1.113319e-03	1.573449e-03
0.0331        	6.729152e-02	1.110519e-03	1.567790e-03
0.0332        	6.723809e-02	1.107373e-03	1.563083e-03
0.0333        	6.770425e-02	1.104316e-03	1.557866e-03
0.0334        	6.810041e-02	1.100964e-03	1.553799e-03
0.0335        	6.832695e-02	1.097519e-03	1.549259e-03
0.0336        	6.872156e-02	1.093857e-03	1.544833e-03
0.0337        	6.865394e-02	1.089921e-03	1.540728e-03
0.0338        	6.866647e-02	1.085827e-03	1.536944e-03
0.0339        	6.610081e-02	1.081958e-03	1.532807e-03
0.034         	6.519707e-02	1.077984e-03	1.528967e-03
0.0341        	6.458330e-02	1.073956e-03	1.525031e-03
0.0342        	6.411960e-02	1.069841e-03	1.520830e-03
0.0343        	6.364869e-02	1.065773e-03	1.516292e-03
0.0344        	6.355172e-02	1.061768e-03	1.511308e-03
0.0345        	6.326914e-02	1.057788e-03	1.506109e-03
0.0346        	6.292263e-02	1.053825e-03	1.500664e-03
0.0347        	6.255867e-02	1.050019e-03	1.494971e-03
0.0348        	6.233653e-02	1.046341e-03	1.489127e-03
0.0349        	6.201674e-02	1.042719e-03	1.483290e-03
0.035         	6.155623e-02	1.039211e-03	1.477570e-03
0.0351        	6.089861e-02	1.035860e-03	1.471972e-03
0.0352        	6.011119e-02	1.032570e-03	1.466500e-03
0.0353        	5.982445e-02	1.029449e-03	1.461334e-03
0.0354        	5.953943e-02	1.026390e-03	1.456538e-03
0.0355        	5.949882e-02	1.023409e-03	1.452075e-03
0.0356        	5.944626e-02	1.020375e-03	1.447953e-03
0.0357        	5.926334e-02	1.017253e-03	1.444020e-03
0.0358        	5.928288e-02	1.014137e-03	1.440166e-03
0.0359        	5.964882e-02	1.011075e-03	1.436365e-03
0.036         	6.002230e-02	1.008169e-03	1.432736e-03
0.0361        	6.039670e-02	1.005354e-03	1.429200e-03
0.0362        	6.106214e-02	1.002571e-03	1.425612e-03
0.0363        	6.193127e-02	9.997402e-04	1.421890e-03
0.0364        	6.168103e-02	9.970454e-04	1.418029e-03
0.0365        	6.091406e-02	9.943671e-04	1.414111e-03
0.0366        	6.037269e-02	9.917057e-04	1.410241e-03
0.0367        	5.991655e-02	9.890537e-04	1.406136e-03
0.0368        	5.939733e-02	9.863387e-04	1.401797e-03
0.0369        	5.895397e-02	9.835655e-04	1.397156e-03
0.037         	5.869592e-02	9.807629e-04	1.392246e-03
0.0371        	5.868069e-02	9.779128e-04	1.387088e-03
0.0372        	5.874432e-02	9.750662e-04	1.381833e-03
0.0373        	5.860897e-02	9.721857e-04	1.376735e-03
0.0374        	5.842319e-02	9.693504e-04	1.371808e-03
0.0375        	5.816212e-02	9.665258e-04	1.366924e-03
0.0376        	5.776379e-02	9.637138e-04	1.362115e-03
0.0377        	5.743402e-02	9.609891e-04	1.357374e-03
0.0378        	5.715511e-02	9.583439e-04	1.352707e-03
0.0379        	5.718948e-02	9.557194e-04	1.348205e-03
0.038         	5.725310e-02	9.530928e-04	1.343822e-03
0.0381        	5.739331e-02	9.504944e-04	1.339529e-03
0.0382        	5.756084e-02	9.478952e-04	1.335268e-03
0.0383        	5.782666e-02	9.453298e-04	1.331273e-03
0.0384        	5.850775e-02	9.428511e-04	1.327313e-03
0.0385        	5.950364e-02	9.404557e-04	1.323460e-03
0.0386        	6.121280e-02	9.380844e-04	1.319787e-03
0.0387        	6.395638e-02	9.357389e-04	1.316442e-03
0.0388        	7.024378e-02	9.334609e-04	1.313333e-03
0.0389        	1.080829e-01	9.313096e-04	1.310207e-03
0.039         	8.740237e-02	9.291753e-04	1.307078e-03
0.0391        	8.164489e-02	9.271363e-04	1.304202e-03
0.0392        	7.732700e-02	9.252429e-04	1.301122e-03
0.0393        	7.389844e-02	9.233186e-04	1.297375e-03
0.0394        	6.921946e-02	9.213235e-04	1.293208e-03
0.0395        	6.535932e-02	9.192861e-04	1.288798e-03
0.0396        	6.290573e-02	9.172926e-04	1.284238e-03
0.0397        	6.163628e-02	9.153068e-04	1.279630e-03
0.0398        	6.072521e-02	9.132956e-04	1.275014e-03
0.0399        	6.083535e-02	9.112729e-04	1.270545e-03
0.04          	6.081065e-02	9.091752e-04	1.266166e-03
0.0401        	6.058258e-02	9.069652e-04	1.262022e-03
0.0402        	6.071874e-02	9.047454e-04	1.257879e-03
0.0403        	6.067552e-02	9.024768e-04	1.253903e-03
0.0404        	6.056464e-02	9.002377e-04	1.250130e-03
0.0405        	6.048220e-02	8.979650e-04	1.246583e-03
0.0406        	6.042670e-02	8.956441e-04	1.243090e-03
0.0407        	6.009225e-02	8.933834e-04	1.239572e-03
0.0408        	5.959976e-02	8.912535e-04	1.235966e-03
0.0409        	5.935673e-02	8.891854e-04	1.232185e-03
0.041         	5.916337e-02	8.871393e-04	1.228342e-03
0.0411        	5.882172e-02	8.848770e-04	1.224733e-03
0.0412        	5.855604e-02	8.828356e-04	1.221035e-03
0.0413        	5.856623e-02	8.809880e-04	1.217327e-03
0.0414        	5.895778e-02	8.792595e-04	1.213291e-03
0.0415        	5.913195e-02	8.775632e-04	1.209315e-03
0.0416        	5.942613e-02	8.758669e-04	1.205523e-03
0.0417        	5.931309e-02	8.741904e-04	1.201842e-03
0.0418        	5.872852e-02	8.725609e-04	1.198197e-03
0.0419        	5.824009e-02	8.709493e-04	1.194700e-03
0.042         	5.783493e-02	8.692635e-04	1.191436e-03
0.0421        	5.745959e-02	8.674678e-04	1.188266e-03
0.0422        	5.766729e-02	8.655010e-04	1.185291e-03
0.0423        	5.879501e-02	8.634297e-04	1.182543e-03
0.0424        	5.860661e-02	8.612807e-04	1.180052e-03
0.0425        	5.777670e-02	8.590894e-04	1.177622e-03
0.0426        	5.692954e-02	8.570455e-04	1.175291e-03
0.0427        	5.613591e-02	8.551197e-04	1.172884e-03
0.0428        	5.570638e-02	8.531752e-04	1.170254e-03
0.0429        	5.664738e-02	8.512669e-04	1.167463e-03
0.043         	5.782792e-02	8.493897e-04	1.164541e-03
0.0431        	5.803734e-02	8.474591e-04	1.161468e-03
0.0432        	5.827987e-02	8.456404e-04	1.158330e-03
0.0433        	5.844966e-02	8.439005e-04	1.155159e-03
0.0434        	5.882119e-02	8.422473e-04	1.151879e-03
0.0435        	6.012634e-02	8.406867e-04	1.148695e-03
0.0436        	6.324915e-02	8.391213e-04	1.145723e-03
0.0437        	6.206684e-02	8.376493e-04	1.142774e-03
0.0438        	6.160498e-02	8.362627e-04	1.140044e-03
0.0439        	6.081563e-02	8.349766e-04	1.137480e-03
0.044         	6.009811e-02	8.336783e-04	1.134754e-03
0.0441        	5.969888e-02	8.322712e-04	1.131992e-03
0.0442        	5.984722e-02	8.307137e-04	1.129211e-03
0.0443        	5.983866e-02	8.290414e-04	1.126422e-03
0.0444        	5.982019e-02	8.272002e-04	1.123631e-03
0.0445        	5.950365e-02	8.252204e-04	1.120773e-03
0.0446        	5.816775e-02	8.232250e-04	1.118074e-03
0.0447        	5.696179e-02	8.212352e-04	1.115475e-03
0.0448        	5.632415e-02	8.191686e-04	1.112938e-03
0.0449        	5.583880e-02	8.170881e-04	1.110351e-03
0.045         	5.552645e-02	8.150237e-04	1.107751e-03
0.0451        	5.586183e-02	8.130122e-04	1.105121e-03
0.0452        	5.654217e-02	8.110613e-04	1.102448e-03
0.0453        	5.793866e-02	8.092076e-04	1.099765e-03
0.0454        	6.042022e-02	8.075675e-04	1.097245e-03
0.0455        	6.141994e-02	8.060948e-04	1.094733e-03
0.0456        	6.086512e-02	8.048224e-04	1.092249e-03
0.0457        	6.043440e-02	8.037349e-04	1.090166e-03
0.0458        	6.133564e-02	8.027546e-04	1.088232e-03
0.0459        	6.533089e-02	8.018909e-04	1.086295e-03
0.046         	8.202536e-02	8.010943e-04	1.084290e-03
0.0461        	7.520140e-02	8.002679e-04	1.081549e-03
0.0462        	7.052957e-02	7.994310e-04	1.078741e-03
0.0463        	6.695519e-02	7.984403e-04	1.076827e-03
